,titre_lieu,url_fiche,description,date_cree,date_revision,arrondissements,types,installations,activites,commodites,accessibilite,categories,statut_ouverture,horaire_par_jour,commentaires_horaire,reglementation,paiement,telephone,courriel,titre_lieu_adresse_postale,adresse_principale,adresse_secondaire,code_postal,ville,lat,long,X,Y
915,Parc Gohier,https://montreal.ca/lieux/parc-gohier,Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air. Le terrain de basketball est ouvert de 6 h à 22 h.Les jeux d’eau sont ouverts de 9 h à 21 h.Terrain de pétanque est accessible de 6 h à 23 h.Le parc à chiens est ouvert au public.,2019-10-16,2022-05-06,Saint-Laurent,Parc et jardins,Parc,,Terrain de basketball,,Culture et sports,Ouvert," Terrains de tennis [Lundi, ouverture:09:00, fermeture:22:00,Mardi, ouverture:09:00, fermeture:22:00,Mercredi, ouverture:09:00, fermeture:22:00,Jeudi, ouverture:09:00, fermeture:22:00,Vendredi, ouverture:09:00, fermeture:22:00,Samedi, ouverture:09:00, fermeture:22:00,Dimanche, ouverture:09:00, fermeture:22:00]",,,,,,Parc Gohier,"730, rue Buchanan",,,Montréal,-73.681541311156,45.507956619338,290614.5,5040908.9
916,Parc Beaudet,https://montreal.ca/lieux/parc-beaudet,Venez profiter des attraits de la nature ou pratiquer des loisirs en plein air.,2019-10-16,2021-03-30,Saint-Laurent,Parc et jardins,Parc,,,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:21:00,Mardi, ouverture:06:00, fermeture:21:00,Mercredi, ouverture:06:00, fermeture:21:00,Jeudi, ouverture:06:00, fermeture:21:00,Vendredi, ouverture:06:00, fermeture:21:00,Samedi, ouverture:06:00, fermeture:21:00,Dimanche, ouverture:06:00, fermeture:21:00]",,,,,,Parc Beaudet,"650, boulevard Décarie",,,Montréal,-73.676435351372,45.509512350171,291013.9,5041080.9
917,Esplanade Tranquille,https://montreal.ca/lieux/esplanade-tranquille,Surveillez la programmation des activités offertes cette saison.,2020-10-05,2023-12-18,Ville-Marie,Parc et jardins,Parc,,"Aire de pique-nique,Casse-croûte,Toilettes,Vestiaire",Adapté aux poussettes,Culture et sports,Ouvert, ,,,,,,Esplanade Tranquille,Rue Clark,,,Montréal,-73.564867959404,45.509633870363,299731.4,5041081.3
918,Nouveau parc riverain de Lachine,https://montreal.ca/lieux/nouveau-parc-riverain-de-lachine,Cette presqu’île est accessible aux piétons et aux cyclistes seulement.  De nombreux supports à vélo sont installés dans le parc et une station Bixi se trouve à proximité en saison. Venez y pique-niquer ou tout simplement admirer le coucher de soleil au bout de la pointe. Une belle invitation à la contemplation.,2021-06-03,2023-11-15,Lachine,Parc et jardins,Parc,Vélo,"Aire de pique-nique,Rampe de mise à l'eau,Support à vélo,Toilettes",Adapté aux poussettes,Culture et sports,Ouvert," Horaire du parc [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]",,"Baignade interditeIl est interdit d’amarrer une embarcation ou d’accoster une embarcation à un quai, sauf aux endroits prévus à cette finIl est interdit de se trouver sur un quai, sauf aux endroits prévus à cette finPour utiliser la rampe de mise à l’eau, vous devez prévoir le portage de votre embarcation du stationnement le plus près (plus de 700 mètres du parc René-Lévesque)",,,,Nouveau parc riverain de Lachine,"1800, chemin des Iroquois",,H8S4J5,Montréal,-73.676149,45.42955,291016.8,5032194.7
919,Parc du Mont-Royal,https://montreal.ca/lieux/parc-du-mont-royal,"L’été, rafraîchissez-vous à l’ombre des grands arbres, faites de la course à pied ou du vélo, ou encore admirez la croix et le lac aux Castors. L’hiver, glissez sur chambre à air dans l’un des corridors dédiés ou sur la piste de glissade libre. Venez profiter de la patinoire réfrigérée, des sentiers de marche (8 km) et de raquette (3 km) ainsi que des pistes de ski de fond (16 km).Carte des activités estivalesCarte des activités hivernalesLocations et prêts sur placeChaloupes, Mölkky et Spikeball, patins, skis de fond et raquettes sont offerts en location par Les Amis de la montagne au pavillon du Lac-aux-Castors. Offre alimentaireProlongez votre visite en apportant votre pique-nique ou votre barbecue. Vous disposez également de l’offre alimentaire du pavillon du Lac-aux-Castors, du chalet du parc du Mont-Royal et de la Maison Smith.Projets en voie de réalisationApprenez-en plus sur les projets en cours.Abattage d’arbresPériode : janvier à début mars 2024 Horaire du chantier : Du lundi au jeudi, entre 7 h et 17 h (sauf exception)Plus de détails",2019-07-30,2024-01-22,"Côte-des-Neiges–Notre-Dame-de-Grâce,Outremont,Ville-Marie",Parc et jardins,Parc,"Photographie,Vélo,Randonnée,Observation d'oiseaux","Aire de pique-nique,Barbecue,Casse-croûte,Fontaine d'eau potable,Module de jeu pour enfants,Module de jeu pour tout-petits,Stationnement ($),Toilettes,Wi-Fi gratuit","Adapté aux poussettes,Stationnement accessible,Toilettes accessibles,Zone de débarcadère,Zone de débarcadère pour transport adapté",Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,Règlement des parcs métropolitains,,numéro: 5142808989,,Parc du Mont-Royal,"2000, chemin Remembrance",,H3H1A2,Montréal,-73.587141674004,45.504031916622,297990.3,5040460.4
920,Parcours accessibles du parc Frédéric-Back,https://montreal.ca/lieux/parcours-accessibles-du-parc-frederic-back,"Premier parcours proposé: 1,4 km, surface pavée et poussière de pierreArrivée à l’entrée du parc située près du Taz (8931, Avenue Papineau): stationnement gratuit réservé pour personnes à mobilité réduite, débarcadère de transport adapté, bancs, toilettes accessibles au Taz ou toilettes extérieures partiellement accessibles en étéSentier en poussière de pierre jusqu’à une aire de pique-nique, comprenant certaines tables accessiblesContinuation sur sentier pavé jusqu’à une place publique avec abri et belvédère donnant sur le parc Continuation sur sentier pavé descendant doucement vers la voie polyvalenteRetour par la gauche sur la voie polyvalente jusqu’à l’entrée et au stationnementD’autre parcours accessibles sont en développement. Ils seront intégrés à la carte du parc dès que possible.Six débarcadères de transport adaptés se trouvent aux abords du parc: aux deux entrées principales (Paul-Boutet et Émile-Journault), à la TOHU, au Stade de soccer et aux parcs Julie-Hamelin et Champdoré. Les deux stationnements, gratuits, ont des places réservées pour les personnes à mobilité réduite. Tous les sentiers sont accessibles; la majorité sont en poussière de pierre. Certains dénivelés au sud du parc peuvent être plus difficiles d’accès.Carte du parc",2021-07-08,2022-01-07,Villeray–Saint-Michel–Parc-Extension,Parc et jardins,Parc,"Photographie,Vélo,Randonnée,Observation d'oiseaux","Aire de pique-nique,Fontaine d'eau potable,Module de jeu pour enfants,Module de jeu pour tout-petits,Stationnement gratuit,Toilettes","Adapté aux poussettes,Entrée de plain-pied,Places de stationnement réservées (vignette),Sentier d'accès,Stationnement accessible,Toilettes accessibles,Zone de débarcadère pour transport adapté",Culture et sports,Ouvert, ,,,,numéro: 5143768648,parcfredericback@montreal.ca,Parcours accessibles du parc Frédéric-Back,8931 Avenue Papineau,,H2M 0A5,Montréal,-73.628895,45.562909,294738.0,5047007.9
921,Parc-nature du Bois-de-Liesse,https://montreal.ca/lieux/parc-nature-du-bois-de-liesse,"Le parc-nature du Bois-de-Liesse est un endroit unique pour vos promenades en forêt. Observez la nature qui vous entoure grâce aux différentes stations d’observation originales. Ne ratez pas la forêt enchantée : une zone peuplée d’arbres centenaires et rares, tel que l’érable noir. Un fauteuil tout-terrain peut être réservé gratuitement au minimum 24 h à l’avance pour se rendre sur les sentiers avec des dénivelés. Contactez le 514 280-6778.Carte des sentiers et pistesConditions de neigeLocation d’équipementInfo-travauxDes travaux de remplacement des lampadaires sont prévus dans plusieurs secteurs du parc-nature, une pause hivernale est prévue jusqu’en mars 2024.Présence de travaux dans le secteur de SunnybrookeAbattage d’arbresLa boucle des érables noirs est en période de coupe d’arbres, secteur à ne pas fréquenter en ce moment.Période : début janvier à la fin mars 2024 Horaire du chantier : Du lundi au vendredi, entre 7 h et 17 h (sauf exception)Plus de détails",2019-08-29,2024-01-26,"Ahuntsic-Cartierville,Pierrefonds-Roxboro,Saint-Laurent",Parc et jardins,Parc,"Vélo,Ski de fond,Raquette,Randonnée,Observation d'oiseaux,Glissade","Aire de pique-nique,Borne de recharge voiture,Borne de réparation de vélo,Stationnement ($),Support à vélo,Toilettes","Adapté aux poussettes,Places de stationnement réservées (vignette),Toilettes accessibles",Culture et sports,Ouvert," Horaire [Lundi, ouverture:07:00, fermeture:22:00,Mardi, ouverture:07:00, fermeture:22:00,Mercredi, ouverture:07:00, fermeture:22:00,Jeudi, ouverture:07:00, fermeture:22:00,Vendredi, ouverture:07:00, fermeture:22:00,Samedi, ouverture:07:00, fermeture:22:00,Dimanche, ouverture:07:00, fermeture:22:00]",Le parc est ouvert de 7 h à 22 h. Les stationnements peuvent fermer plus tôt.,Les chiens doivent être tenus en laisse.,,numéro: 5142806778,pleinair@montreal.ca,Parc-nature du Bois-de-Liesse,"9432, boulevard Gouin Ouest",,H8Y1T4,Montréal,-73.76349919198071,45.50640761837823,284209.8,5040754.5
922,Parc-nature de l’Anse-à-l’Orme,https://montreal.ca/lieux/parc-nature-de-lanse-lorme,"Le parc-nature offre une vue exceptionnelle sur le lac des Deux Montagnes. L’hiver, la pêche blanche y est très populaire, de même que le cerf-volant de traction et le paraski.",2019-08-30,2024-01-09,Pierrefonds-Roxboro,Parc et jardins,Parc,"Photographie,Pêche,Observation d'oiseaux","Aire de pique-nique,Rampe de mise à l'eau,Stationnement ($),Support à vélo,Toilettes,Vestiaire",Places de stationnement réservées (vignette),Culture et sports,Ouvert," Horaire [Lundi, ouverture:07:00, fermeture:22:00,Mardi, ouverture:07:00, fermeture:22:00,Mercredi, ouverture:07:00, fermeture:22:00,Jeudi, ouverture:07:00, fermeture:22:00,Vendredi, ouverture:07:00, fermeture:22:00,Samedi, ouverture:07:00, fermeture:22:00,Dimanche, ouverture:07:00, fermeture:22:00]",,Les chiens doivent être tenus en laisse.,,numéro: 5142806778,pleinair@montreal.ca,Parc-nature de l’Anse-à-l’Orme,"21135, boulevard Gouin Ouest",,H9K1C1,Montréal,-73.936145346604,45.453975580832,270687.4,5034986.5
923,Parc Jean-Drapeau,https://montreal.ca/lieux/parc-jean-drapeau,"Accessible par la station de métro Jean-Drapeau et entouré par le fleuve Saint-Laurent, il est le terrain de jeux idéal pour s’aérer, bouger et s’amuser. Il propose de nombreuses activités culturelles et sportives pendant toute l’année.En hiver, les fondeurs peuvent emprunter des pistes de ski de fond de 5,7 km sur l’île Notre-Dame et de 800 m sur l’île Sainte-Hélène, des sentiers aménagés pour les adeptes de randonnées pédestres ou en raquettes sillonnent les différents secteurs du parc, tantôt dans le boisé, tantôt le long du Fleuve. Les amateurs de patinage et de glissade apprécieront l’Espace 67 alors que la paroi de glace d’escalade pour grimpeurs accrédités est prisée par ses adeptes.Les amoureux de la nature apprécieront les sentiers pédestres et la présence de nombreux oiseaux à observer, hiver comme été.Amateurs de baignade et de natation ? Rendez-vous au complexe aquatique. La piscine récréative est accessible tous les jours pour le bain libre et la nage en longueur. Le samedi, elle accueille un parcours à obstacles flottant, au grand bonheur des enfants. Le bassin de plongeon est ouvert au public durant quelques jours, sur réservation. Lieu incontournable pour se rafraîchir durant les grandes chaleurs estivales, le parc Jean-Drapeau dispose d’une plage où il est possible de louer des embarcations.Canot, kayak, pédalo et planche de surf à pagaie… Tous les moyens sont bons pour partir à la découverte des lagunes qui font le tour du Jardin des Floralies.Plutôt envie d’un voyage dans le temps à bord d’un véhicule électrique ? La Balade découverte offre une visite guidée à travers l’histoire des deux îles du parc, de 1535 à aujourd’hui.",2019-09-09,2022-12-08,Ville-Marie,Parc et jardins,Parc,Baignade,"Stationnement ($),Toilettes",,Culture et sports,Ouvert, ,,,,,,Parc Jean-Drapeau,"1, circuit Gilles-Villeneuve",,H3C1A9,Montréal,-73.53325931407,45.513778046696,302201.4,5041540.4
924,Parc Jarry,https://montreal.ca/lieux/parc-jarry,"Découvrez un paysage nature en plein cœur de la ville et profitez des installations adaptées aux différentes saisons : piscine, pataugeoire, terrains de sport et aires de pique-nique. En hiver, un comptoir de location d’équipement est aussi ouvert les fins de semaine.Pour tout savoir sur le plan d’aménagement du parc Jarry ou pour visionner la séance d’information virtuelle qui a eu lieu en mai 2021, consultez Réalisons Montréal.",2019-09-09,2022-01-12,Villeray–Saint-Michel–Parc-Extension,Parc et jardins,Parc,"Photographie,Vélo,Randonnée,Pétanque ou bocce,Cricket,Volleyball","Aire de pique-nique,Barbecue,Fontaine d'eau potable,Module de jeu pour enfants,Roulotte ou chalet chauffé,Table de ping pong,Terrain de basketball,Terrain de jeu de boules,Terrain de volleyball,Toilettes",Adapté aux poussettes,Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,,,,,Parc Jarry,"205, rue Gary-Carter",,H2R 2V7,Montréal,-73.626816909753,45.533891058995,294895.2,5043782.8
925,Parc Frédéric-Back,https://montreal.ca/lieux/parc-frederic-back,"Allez-y pour pratiquer des activités extérieures telles que la course à pied, le vélo, le ski de fond ou l’observation d’oiseaux, d’insectes ou d’étoiles. Promenez-vous dans ses sentiers pédestres et profitez des divers événements culturels, sportifs et familiaux présentés dans l’enceinte du parc. Des partenaires offrent aussi des activités éducatives et des cours d’initiation, consultez la programmation pour en savoir plus. L’hiver, la marche, la raquette (7 km) et le vélo fatbike (5,5 km) se pratiquent sur le même sentier. Un fauteuil tout-terrain est disponible gratuitement à l’année au pavillon d’accueil de la TOHU. Il facilite les balades en sentier. Aucune réservation.Carte estivale du parcCarte hivernale du parcL’histoire du parc Frédéric-Back vous intéresse? Visionnez les capsules vidéo Les secrets du parc Frédéric-Back pour en apprendre plus, depuis la transformation de cet ancien site d’enfouissement en un grand parc dédié à l’environnement et aux loisirs.Lorsque vous êtes sur le site, téléchargez la nouvelle application Parc Frédéric-Back pour vous renseigner sur son histoire et ses attractions.L’organisation d’un événement public est également possible au parc Frédéric-Back. Pour toutes questions ou demandes relatives au parc Frédéric-Back, veuillez contacter le 311.",2019-09-11,2024-01-31,Villeray–Saint-Michel–Parc-Extension,Parc et jardins,Parc,"Photographie,Vélo,Ski de fond,Raquette,Randonnée,Observation d'oiseaux","Aire de pique-nique,Fontaine d'eau potable,Piste de course à pied,Stationnement gratuit,Support à vélo,Toilettes","Adapté aux poussettes,Places de stationnement réservées (vignette),Sentier d'accès,Toilettes accessibles,Zone de débarcadère pour transport adapté",Culture et sports,Ouvert," Horaire [Lundi, ouverture:06:00, fermeture:00:00,Mardi, ouverture:06:00, fermeture:00:00,Mercredi, ouverture:06:00, fermeture:00:00,Jeudi, ouverture:06:00, fermeture:00:00,Vendredi, ouverture:06:00, fermeture:00:00,Samedi, ouverture:06:00, fermeture:00:00,Dimanche, ouverture:06:00, fermeture:00:00]",,Les bons comportements à adopter dans les grands parcs,,numéro: 5143768648,,Parc Frédéric-Back,"2345, rue Jarry Est",,H1Z4P3,Montréal,-73.615142,45.558774,295811.0,5046546.7
926,Parc-nature du Bois-de-Saraguay,https://montreal.ca/lieux/parc-nature-du-bois-de-saraguay,Le parc-nature du Bois-de-Saraguay est un site unique par ses richesses naturelle et culturelle. Ce grand parc abrite une faune variée ainsi qu’une magnifique forêt d’arbres rares au milieu de cours d’eau et de marécages. Au cœur de ses 96 hectares se trouvent deux bâtiments patrimoniaux : la maison Mary-Dorothy-Molson et la maison du chauffeur de l’ancien domaine Ogilvie. Profitez en pour découvrir le patrimoine historique et les trésors naturels de l’endroit.,2019-09-18,2023-08-04,Ahuntsic-Cartierville,Parc et jardins,Parc,"Photographie,Randonnée,Observation d'oiseaux",,Accessible en fauteuil roulant avec assistance,Culture et sports,Ouvert," Horaire [Lundi, ouverture:07:00, fermeture:22:00,Mardi, ouverture:07:00, fermeture:22:00,Mercredi, ouverture:07:00, fermeture:22:00,Jeudi, ouverture:07:00, fermeture:22:00,Vendredi, ouverture:07:00, fermeture:22:00,Samedi, ouverture:07:00, fermeture:22:00,Dimanche, ouverture:07:00, fermeture:22:00]",Le parc est ouvert de 7 h à 22 h.Les stationnements peuvent fermer plus tôt.,Les chiens doivent être tenus en laisse.,,numéro: 5142806778,pleinair@montreal.ca,Parc-nature du Bois-de-Saraguay,"12200, avenue Joseph-Saucier",(à l'angle des avenues Jean-Bourdon et Joseph-Saucier),H4K1C2,Montréal,-73.740739551612,45.517573912047,285992.0,5041989.8
927,Parc-nature de l'Île-de-la-Visitation,https://montreal.ca/lieux/parc-nature-de-lile-de-la-visitation,"Le parc-nature de l’Île-de-la-Visitation allie nature et histoire et regorge d’activités pour tous. Visitez les ruines des anciens moulins ou la maison du Pressoir et profitez des points de vue sur la rivière des Prairies depuis les belvédères. Partez en randonnée pédestre (8,5 km) ou cycliste pour observer des centaines d’espèces d’oiseaux. Un fauteuil tout-terrain vous assiste au besoin sur les sentiers avec des dénivelés. Une luge de ski de fond permet l’hiver de se rendre sur les sentiers à faible dénivelé. Les réservations sont gratuites et se font au minimum 24 h à l’avance au 514 280-6778.Carte des sentiersConditions de neigeLocation d’équipementInfo-travauxDes travaux de remplacement des lampadaires sont prévus dans plusieurs secteurs du parc-nature, une pause hivernale est prévue jusqu’en mars 2024.",2019-09-18,2024-01-24,Ahuntsic-Cartierville,Parc et jardins,Parc,"Photographie,Vélo,Ski de fond,Raquette,Randonnée,Pétanque ou bocce,Pêche,Observation d'oiseaux,Glissade","Aire de pique-nique,Borne de recharge voiture,Borne de réparation de vélo,Casse-croûte,Fontaine d'eau potable,Stationnement ($),Support à vélo,Toilettes","Adapté aux poussettes,Toilettes accessibles",Culture et sports,Ouvert," Horaire [Lundi, ouverture:07:00, fermeture:22:00,Mardi, ouverture:07:00, fermeture:22:00,Mercredi, ouverture:07:00, fermeture:22:00,Jeudi, ouverture:07:00, fermeture:22:00,Vendredi, ouverture:07:00, fermeture:22:00,Samedi, ouverture:07:00, fermeture:22:00,Dimanche, ouverture:07:00, fermeture:22:00]",Le parc est ouvert de 7 h à 22 h.Les stationnements peuvent fermer plus tôt.,Les chiens doivent être tenus en laisse.,"Carte de crédit (MasterCard, Visa)",numéro: 5142806778,pleinair@montreal.ca,Parc-nature de l'Île-de-la-Visitation,"2425, boulevard Gouin Est",,H2B1X7,Montréal,-73.659999,45.577731,292313.3,5048659.4
928,Parc-nature de la Pointe-aux-Prairies,https://montreal.ca/lieux/parc-nature-de-la-pointe-aux-prairies,"Le parc-nature de la Pointe-aux-Prairies est un vaste espace vert de 261 hectares en milieu urbain situé à l’extrémité est de l’île. En été, allez-y pour une randonnée (8,4 km) ou faire un tour  envélo et observer une grande diversité d’oiseaux rares et de mammifères, dont le cerf de Virginie. L’hiver, profitez de la butte de glissade ou partez en raquette (6,7 km) ou en ski de fond (12,4 km). Un sentier pour les amateurs de vélo fatbike (4,2 km) est aussi disponible. Deux chalets accueillent les visiteurs.En appelant le 514 280-6778 au minimum 24 h avant votre venue, vous pouvez réserver gratuitement un fauteuil tout-terrain. Il est adapté aux sentiers avec des dénivelés. L’hiver, une luge de ski de fond s’ajoute à l’offre pour accéder aux sentiers à faible dénivelé. Vous devez alors être accompagné d’une personne pour vous porter assistance.Carte des sentiersConditions de neigeLocation d’équipementIl n’est plus possible de faire la location de sites extérieurs.Info-travauxDes travaux de remplacement des lampadaires sont prévus dans plusieurs secteurs du parc-nature, une pause hivernale est prévue jusqu’en mars 2024.",2019-09-18,2024-01-24,Rivière-des-Prairies–Pointe-aux-Trembles,Parc et jardins,Parc,"Photographie,Vélo,Ski de fond,Raquette,Randonnée,Observation d'oiseaux,Glissade","Aire de pique-nique,Borne de réparation de vélo,Fontaine d'eau potable,Stationnement ($),Support à vélo,Toilettes","Adapté aux poussettes,Toilettes accessibles",Culture et sports,Ouvert," Horaire [Lundi, ouverture:07:00, fermeture:22:00,Mardi, ouverture:07:00, fermeture:22:00,Mercredi, ouverture:07:00, fermeture:22:00,Jeudi, ouverture:07:00, fermeture:22:00,Vendredi, ouverture:07:00, fermeture:22:00,Samedi, ouverture:07:00, fermeture:22:00,Dimanche, ouverture:07:00, fermeture:22:00]",Le parc est ouvert de 7 h à 22 h.Les stationnements peuvent fermer plus tôt.,Les chiens doivent être tenus en laisse.,,numéro: 5142806778,pleinair@montreal.ca,Parc-nature de la Pointe-aux-Prairies,"14905, rue Sherbrooke Est",Chalet de l'Héritage,H1A4G4,Montréal,-73.493127,45.683027,305335.4,5060348.9
929,Parc des Rapides,https://montreal.ca/lieux/parc-des-rapides,"Adonnez-vous à de nombreuses activités au gré des saisons : marche, sports nautiques, ski de fond ou encore circuit cycliste.Au cours de vos promenades, observez la vue sur le fleuve et les rapides de Lachine et découvrez plus de 225 espèces d’oiseaux, dont la plus grande colonie de hérons au Québec.Prisé par les ornithologues, les photographes et les pêcheurs, le site offre de plus de nombreuses activités d’interprétation du patrimoine historique et naturel.",2019-09-18,2023-06-21,LaSalle,Parc et jardins,Parc,"Photographie,Randonnée,Pêche,Observation d'oiseaux,Glissade","Aire de pique-nique,Fontaine d'eau potable,Stationnement gratuit,Support à vélo,Toilettes",Stationnement accessible,Culture et sports,Ouvert," Horaire [Lundi, ouverture:07:00, fermeture:21:00,Mardi, ouverture:07:00, fermeture:21:00,Mercredi, ouverture:07:00, fermeture:21:00,Jeudi, ouverture:07:00, fermeture:21:00,Vendredi, ouverture:07:00, fermeture:21:00,Samedi, ouverture:07:00, fermeture:21:00,Dimanche, ouverture:07:00, fermeture:21:00]",,L’utilisation d’un drone est interdite sur tout le site.,,,,Parc des Rapides,"7770, boulevard LaSalle",,H8P1X6,Montréal,-73.596136,45.426043,297277.1,5031794.3
930,Parc-nature du Bois-de-L'Île-Bizard,https://montreal.ca/lieux/parc-nature-du-bois-de-lile-bizard,"Riche d’une grande diversité d’écosystèmes, le parc-nature du Bois-de-L’Île-Bizard comprend plusieurs sentiers de randonnée (7 km) et de vélo. Observez la migration des bernaches et des oies en bordure du lac.Durant la saison estivale, la petite plage située dans la baie du lac des Deux Montagnes accueille les familles avec de jeunes enfants. L’hiver, chaussez vos skis de fond (7 km) ou vos raquettes (12 km) pour profiter des espaces enneigés. Carte des sentiersConditions des pistes et sentiersLocation d’équipementInfo-travauxDes travaux pour remplacer des lampadaires sont prévus dans plusieurs secteurs du parc-nature. (interruption jusqu’en mars 2024)",2019-09-19,2024-01-24,L'Île-Bizard–Sainte-Geneviève,Parc et jardins,Parc,"Photographie,Vélo,Ski de fond,Raquette,Randonnée,Observation d'oiseaux,Baignade","Aire de pique-nique,Borne de réparation de vélo,Fontaine d'eau potable,Rampe de mise à l'eau,Stationnement ($),Support à vélo,Toilettes","Adapté aux poussettes,Places de stationnement réservées (vignette),Toilettes accessibles",Culture et sports,Ouvert," Horaire [Lundi, ouverture:07:00, fermeture:22:00,Mardi, ouverture:07:00, fermeture:22:00,Mercredi, ouverture:07:00, fermeture:22:00,Jeudi, ouverture:07:00, fermeture:22:00,Vendredi, ouverture:07:00, fermeture:22:00,Samedi, ouverture:07:00, fermeture:22:00,Dimanche, ouverture:07:00, fermeture:22:00]",Le parc est ouvert de 7 h à 22 h. Les stationnements peuvent fermer plus tôt.,"Les chiens sont interdits à la plage. Dans les autres secteurs du parc, les chiens doivent être tenus en laisse.","Carte de crédit (MasterCard, Visa)",numéro: 5142806778,pleinair@montreal.ca,Parc-nature du Bois-de-L'Île-Bizard,2115 chemin du Bord-du-Lac,,H9C1P3,Montréal,-73.897038,45.515633,273780.0,5041822.6
931,Parc-nature du Ruisseau-De Montigny,https://montreal.ca/lieux/parc-nature-du-ruisseau-de-montigny,"Le parc-nature du Ruisseau-De Montigny est un parc linéaire 3,3 km de sentiers où vous pouvez vous promener à pied ou à vélo, le long du ruisseau et de ses petites cascades. Cet espace protégé accueille des espèces végétales et animales diverses comme le frêne rouge ou la couleuvre brune. Au cœur du parc, découvrez 4 petites îles situées en bordure de la rivière des Prairies, où vont se reproduire rats musqués, grands hérons, canards et poissons. L’hiver, il est aussi possible de faire de la raquette (3 km).",2019-10-04,2023-11-24,Rivière-des-Prairies–Pointe-aux-Trembles,Parc et jardins,Parc,"Vélo,Raquette,Randonnée,Observation d'oiseaux",Aire de pique-nique,,Culture et sports,Ouvert," Horaire [Lundi, ouverture:07:00, fermeture:22:00,Mardi, ouverture:07:00, fermeture:22:00,Mercredi, ouverture:07:00, fermeture:22:00,Jeudi, ouverture:07:00, fermeture:22:00,Vendredi, ouverture:07:00, fermeture:22:00,Samedi, ouverture:07:00, fermeture:22:00,Dimanche, ouverture:07:00, fermeture:22:00]",Le parc est ouvert de 7 h à 22 h.,,,numéro: 5142806778,,Parc-nature du Ruisseau-De Montigny,"7123, boulevard Maurice-Duplessis",,,Montréal,-73.608741760254,45.625923588377,296320.8,5054008.5
932,Parc-nature du Cap-Saint-Jacques,https://montreal.ca/lieux/parc-nature-du-cap-saint-jacques,"Avec ses 330 hectares de superficie, le parc-nature du Cap-Saint-Jacques abrite une cabane à sucre, 2 chalets chauffés ainsi qu’une ferme écologique. Profitez de vos promenades pour visiter les bâtiments historiques : la maison Thomas-Brunet et le Château Gohier.  De nombreuses activités sont organisées tout au long de l’année : baignade, vélo, camping, glissade, raquette (5 km), randonnée pédestre (7 km), ski de fond (14 km) et vélo à pneus surdimensionnés (6,5 km). Carte des sentiers et pistesConditions des pistes et sentiersLocation d’équipementLe chalet d’accueil est accessible en fauteuil roulant. Vous pouvez réserver gratuitement un fauteuil tout-terrain pour accéder aux sentiers avec des dénivelés et, l’hiver, à une luge de ski de fond pour rejoindre les sentiers à faible dénivelé. Appelez au minimum 24 h à l’avance le 514 280-6778.Info-travauxDes travaux pour remplacer des lampadaires sont prévus dans plusieurs secteurs du parc-nature. (interruption jusqu’en mars 2024)",2019-10-09,2024-01-14,Pierrefonds-Roxboro,Parc et jardins,Parc,"Vélo,Ski de fond,Raquette,Randonnée,Observation d'oiseaux,Glissade,Baignade","Aire de pique-nique,Borne de recharge voiture,Borne de réparation de vélo,Fontaine d'eau potable,Rampe de mise à l'eau,Stationnement ($),Support à vélo,Table à langer,Toilettes,Vestiaire","Adapté aux poussettes,Places de stationnement réservées (vignette),Toilettes accessibles",Culture et sports,Ouvert," Horaire [Lundi, ouverture:07:00, fermeture:22:00,Mardi, ouverture:07:00, fermeture:22:00,Mercredi, ouverture:07:00, fermeture:22:00,Jeudi, ouverture:07:00, fermeture:22:00,Vendredi, ouverture:07:00, fermeture:22:00,Samedi, ouverture:07:00, fermeture:22:00,Dimanche, ouverture:07:00, fermeture:22:00]","Le parc est ouvert de 7 h à 22 h, les stationnements peuvent fermer plus tôt.","Les chiens sont interdits dans le secteur de la plage (incluant les sentiers et les aires de pique-nique).Dans les autres secteurs du parc, les chiens doivent être tenus en laisse.","Carte de crédit (MasterCard, Visa)",numéro: 5142806778,pleinair@montreal.ca,Parc-nature du Cap-Saint-Jacques,"20099, boulevard Gouin Ouest",,H9K1C6,Pierrefonds,-73.921020138079,45.462157406526,271875.1,5035889.4
